Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
1	SP	P38398	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=1 SV=2	Homo sapiens	1863	9652	100.0	100.0	0.0
2	TR	G8I0D8	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1863	9646	99.9	99.9	0.0
3	TR	A0A386IPK6	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1863	9641	99.9	99.9	0.0
4	TR	A0A386INP3	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1863	9641	99.9	99.9	0.0
5	TR	H0Y850	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=1 SV=2	Homo sapiens	1862	9636	99.9	99.9	0.0
6	TR	A0A2R8Y7V5	RING-type E3 ubiquitin transferase OS=Homo sapiens OX=9606 GN=BRCA1 PE=1 SV=2	Homo sapiens	1885	9619	98.8	98.8	0.0
7	TR	E7EQW4	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=1 SV=2	Homo sapiens	1861	9618	99.9	99.9	0.0
8	SP	P38398-7	Isoform 7 of Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1	Homo sapiens	1884	9617	98.8	98.9	0.0
9	SP	P38398-4	Isoform 4 of Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1	Homo sapiens	1846	9573	100.0	100.0	0.0
10	TR	Q5XLT4	RING-type E3 ubiquitin transferase (Fragment) OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1841	9505	99.8	99.8	0.0
11	SP	Q9GKK8	Breast cancer type 1 susceptibility protein homolog OS=Pan troglodytes OX=9598 GN=BRCA1 PE=2 SV=2	Pan troglodytes	1863	9482	98.4	98.9	0.0
12	TR	K7ASC3	Breast cancer type 1 susceptibility protein homolog OS=Pan troglodytes OX=9598 GN=BRCA1 PE=2 SV=1	Pan troglodytes	1863	9478	98.4	98.9	0.0
13	TR	K7DDE1	Breast cancer type 1 susceptibility protein homolog OS=Pan troglodytes OX=9598 GN=BRCA1 PE=2 SV=1	Pan troglodytes	1863	9472	98.3	98.8	0.0
14	TR	E7ENB7	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=1 SV=2	Homo sapiens	1837	9470	98.6	98.6	0.0
15	TR	K7CMM2	Breast cancer type 1 susceptibility protein homolog OS=Pan troglodytes OX=9598 GN=BRCA1 PE=2 SV=1	Pan troglodytes	1863	9467	98.3	98.8	0.0
16	TR	H2QD46	Breast cancer type 1 susceptibility protein homolog OS=Pan troglodytes OX=9598 GN=BRCA1 PE=4 SV=2	Pan troglodytes	1863	9463	98.3	98.7	0.0
17	TR	A0A386IN41	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1835	9461	98.5	98.5	0.0
18	TR	K7ATP8	Breast cancer type 1 susceptibility protein homolog OS=Pan troglodytes OX=9598 GN=BRCA1 PE=2 SV=1	Pan troglodytes	1863	9460	98.2	98.7	0.0
19	SP	Q6J6I8	Breast cancer type 1 susceptibility protein homolog OS=Gorilla gorilla gorilla OX=9595 GN=BRCA1 PE=3 SV=1	Gorilla gorilla gorilla	1863	9451	98.0	98.8	0.0
20	TR	A0A075VQZ2	Breast cancer type 1 susceptibility protein homolog OS=Pan paniscus OX=9597 GN=BRCA1 PE=2 SV=1	Pan paniscus	1860	9445	98.2	98.7	0.0
21	TR	A0A9Y1QQD3	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1835	9437	98.5	98.5	0.0
22	TR	A0A386INQ5	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1825	9432	100.0	100.0	0.0
23	TR	A0A2I3RZS7	RING-type E3 ubiquitin transferase OS=Pan troglodytes OX=9598 GN=BRCA1 PE=4 SV=1	Pan troglodytes	1884	9428	97.1	97.6	0.0
24	TR	A0A9Y1QQK3	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1816	9402	100.0	100.0	0.0
25	SP	P38398-8	Isoform 8 of Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1	Homo sapiens	1816	9402	100.0	100.0	0.0
26	TR	A0A0U1RRA9	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=1 SV=2	Homo sapiens	1822	9393	97.8	97.8	0.0
27	TR	A0A9Y1QQK7	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1815	9385	99.9	99.9	0.0
28	TR	A0A9Y1QQJ6	Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=2 SV=1	Homo sapiens	1821	9377	97.7	97.7	0.0
