Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
1	TR	A0A8D2I767	non-specific serine/threonine protein kinase OS=Urocitellus parryii OX=9999 GN=AKT3 PE=3 SV=1	Urocitellus parryii	479	2558	100.0	100.0	0.0
2	TR	A0A8C2VFM2	non-specific serine/threonine protein kinase OS=Chinchilla lanigera OX=34839 GN=Akt3 PE=3 SV=1	Chinchilla lanigera	479	2558	100.0	100.0	0.0
3	TR	A0A0P6K622	non-specific serine/threonine protein kinase OS=Heterocephalus glaber OX=10181 GN=Akt3 PE=3 SV=1	Heterocephalus glaber	479	2558	100.0	100.0	0.0
4	TR	A0A8C6ABZ2	non-specific serine/threonine protein kinase OS=Marmota marmota marmota OX=9994 GN=AKT3 PE=3 SV=1	Marmota marmota marmota	479	2558	100.0	100.0	0.0
5	TR	A0A8C6QZP2	non-specific serine/threonine protein kinase OS=Nannospalax galili OX=1026970 GN=Akt3 PE=3 SV=1	Nannospalax galili	479	2558	100.0	100.0	0.0
6	TR	I3MFT2	non-specific serine/threonine protein kinase OS=Ictidomys tridecemlineatus OX=43179 GN=AKT3 PE=3 SV=2	Ictidomys tridecemlineatus	479	2558	100.0	100.0	0.0
7	TR	A0A1U7QFZ6	non-specific serine/threonine protein kinase OS=Mesocricetus auratus OX=10036 GN=Akt3 PE=3 SV=1	Mesocricetus auratus	479	2558	100.0	100.0	0.0
8	TR	A0A8C9QNE0	non-specific serine/threonine protein kinase OS=Spermophilus dauricus OX=99837 PE=3 SV=1	Spermophilus dauricus	479	2558	100.0	100.0	0.0
9	TR	A0A8C8TYT7	non-specific serine/threonine protein kinase OS=Peromyscus maniculatus bairdii OX=230844 GN=Akt3 PE=3 SV=1	Peromyscus maniculatus bairdii	479	2558	100.0	100.0	0.0
10	TR	A0A8D2DSM3	non-specific serine/threonine protein kinase OS=Sciurus vulgaris OX=55149 GN=AKT3 PE=3 SV=1	Sciurus vulgaris	479	2558	100.0	100.0	0.0
11	TR	A0ABM1U0X4	non-specific serine/threonine protein kinase OS=Microtus ochrogaster OX=79684 GN=Akt3 PE=3 SV=1	Microtus ochrogaster	479	2558	100.0	100.0	0.0
12	TR	A0A8D2FJE8	non-specific serine/threonine protein kinase OS=Theropithecus gelada OX=9565 GN=AKT3 PE=3 SV=1	Theropithecus gelada	479	2558	100.0	100.0	0.0
13	TR	A0ABM3TVJ4	non-specific serine/threonine protein kinase OS=Balaenoptera acutorostrata OX=9767 GN=AKT3 PE=3 SV=1	Balaenoptera acutorostrata	479	2558	100.0	100.0	0.0
14	TR	A0A8C4PGW8	non-specific serine/threonine protein kinase OS=Equus asinus OX=9793 GN=AKT3 PE=3 SV=1	Equus asinus	479	2558	100.0	100.0	0.0
15	TR	A0AC58PCX7	non-specific serine/threonine protein kinase OS=Camelus bactrianus OX=9837 GN=AKT3 PE=3 SV=1	Camelus bactrianus	479	2558	100.0	100.0	0.0
16	TR	A0A2K6GQN6	non-specific serine/threonine protein kinase OS=Propithecus coquereli OX=379532 PE=3 SV=1	Propithecus coquereli	479	2558	100.0	100.0	0.0
